iter	RMSE
0	769626.8671
1	736570.2952
2	704027.3419
3	673568.0742
4	645631.072
5	618593.2386
6	592835.282
7	569191.7763
8	546006.1188
9	523738.8745
10	503102.8584
11	483880.2386
12	464464.3255
13	447395.6188
14	432047.3591
15	416429.5621
16	402409.2621
17	389433.9076
18	377182.3329
19	364473.0769
20	352223.9352
21	341904.3721
22	331437.8576
23	321250.8022
24	312331.1895
25	303897.1983
26	296046.5096
27	288578.306
28	281361.9271
29	275181.0646
30	268598.8409
31	263506.101
32	257806.2991
33	252652.3163
34	247819.7986
35	243555.834
36	239672.5206
37	235757.5673
38	231900.8259
39	228248.195
40	224819.835
41	221631.2295
42	218569.7247
43	215802.9102
44	212838.8986
45	210307.5599
46	207527.9353
47	205300.0917
48	202765.9569
49	200554.0698
50	198696.6952
51	196828.3885
52	195001.9539
53	193213.6826
54	192222.4878
55	190254.8521
56	188416.3588
57	187133.4547
58	186162.102
59	185941.9149
60	184328.7999
61	183725.33
62	183510.4078
63	181982.6331
64	181194.722
65	180739.7635
66	179538.6432
67	178556.5782
68	178027.9433
69	177858.5575
70	176251.3356
71	174987.2404
72	173671.9288
73	173504.2553
74	173083.4348
75	172931.5525
76	171543.4412
77	171350.8515
78	170989.3546
79	170853.273
80	170718.9867
81	169823.0546
82	169696.9627
83	169334.7882
84	169168.6435
85	168438.3854
86	167630.1
87	166703.8428
88	166390.6358
89	166285.0267
90	165743.1534
91	165144.0773
92	165048.5326
93	164165.3287
94	163985.9148
95	162870.9913
96	162135.2
97	161372.9242
98	161200.8135
99	160347.9364
100	160268.5089
101	159450.189
102	158800.6546
103	158353.4211
104	158075.4344
105	157205.8615
106	156901.7427
107	156511.7845
108	155825.43
109	155727.5052
110	155539.6956
111	155065.6617
112	154792.6638
113	154569.4118
114	154064.416
115	153488.1088
116	153002.1964
117	152377.6883
118	151949.5537
119	151589.5198
120	151371.9394
121	150981.7285
122	150396.8591
123	150089.9453
124	149747.5275
125	149523.1326
126	148824.9053
127	148365.8229
128	148283.0476
129	147609.0115
130	146954.5776
131	146389.3485
132	145926.2545
133	145838.1988
134	145163.1234
135	144931.243
136	144691.9363
137	144202.7672
138	143759.2041
139	143611.768
140	143141.6346
141	142770.8556
142	142471.8402
143	141883.7089
144	141374.4732
145	140900.2545
146	140876.0169
147	140486.6852
148	139812.2267
149	139572.6292
150	139391.5531
151	139257.2186
152	139029.2763
153	138718.6503
154	138258.4023
155	138118.3117
156	137735.3767
157	137212.0908
158	137026.1341
159	136458.88
160	136072.5131
161	135965.7569
162	135730.3728
163	135570.0965
164	135034.7655
165	134715.9494
166	134442.8545
167	134172.6467
168	133914.3201
169	133865.2576
170	133647.5835
171	133274.7697
172	133116.4383
173	132911.9486
174	132568.7928
175	132425.103
176	132093.0332
177	131834.376
178	131618.9268
179	131271.8413
180	130853.4329
181	130697.4892
182	130473.7783
183	130081.739
184	129768.4356
185	129602.2425
186	129448.9343
187	129192.1879
188	128919.0623
189	128424.304
190	128010.8804
191	127584.0461
192	127165.0886
193	126840.728
194	126682.3588
195	126399.4726
196	126198.887
197	125972.0351
198	125720.7053
199	125544.5457
200	125271.8016
201	124999.788
202	124739.8966
203	124450.9727
204	124245.1318
205	123911.3252
206	123718.4621
207	123273.6232
208	123087.5364
209	122925.9475
210	122573.2247
211	122388.9248
212	122306.1118
213	122130.3497
214	122004.9989
215	121732.9758
216	121556.0383
217	121345.3274
218	121121.8483
219	120854.9052
220	120581.4129
221	120402.6294
222	120137.021
223	120032.0422
224	119877.9685
225	119632.6341
226	119491.6178
227	119306.1438
228	119107.3985
229	118849.8636
230	118469.9358
231	118238.7062
232	117989.9945
233	117701.9702
234	117607.9311
235	117398.761
236	117263.5385
237	116959.5989
238	116687.3165
239	116570.5937
240	116474.337
241	116362.8449
242	116113.5713
243	115975.471
244	115691.0718
245	115500.3979
246	115265.7904
247	115031.3808
248	114830.1452
249	114703.5646
250	114521.6408
251	114410.6877
252	114166.2468
253	114020.765
254	113894.0253
255	113765.1395
256	113608.0962
257	113335.1003
258	113219.512
259	112990.5697
260	112770.4254
261	112607.1875
262	112464.8664
263	112318.5033
264	112007.8139
265	111883.0799
266	111690.2535
267	111482.3037
268	111237.7218
269	111094.607
270	110887.4461
271	110734.6077
272	110582.393
273	110432.3962
274	110329.7235
275	110190.9996
276	110087.8053
277	109945.8199
278	109810.4406
279	109634.6655
280	109525.0302
281	109401.6073
282	109280.1776
283	109011.5669
284	108887.6947
285	108745.9944
286	108619.5528
287	108483.6044
288	108415.5907
289	108298.5411
290	108141.9027
291	108083.4612
292	108028.0831
293	107838.3712
294	107719.3228
295	107561.303
296	107474.5365
297	107315.2107
298	107108.9976
299	106993.904
300	106815.7307
301	106663.8125
302	106594.4748
303	106507.7947
304	106406.4135
305	106292.8592
306	106143.1408
307	106033.9041
308	105950.5383
309	105829.6057
310	105746.021
311	105570.7663
312	105390.2074
313	105267.8563
314	105175.8109
315	104877.7139
316	104771.4673
317	104644.3646
318	104463.5504
319	104316.7916
320	104192.0117
321	104029.3834
322	103943.0273
323	103848.8641
324	103761.0198
325	103588.1394
326	103477.9834
327	103286.5356
328	103241.5171
329	103138.276
330	103034.2941
331	102951.8774
332	102854.95
333	102772.0562
334	102709.9194
335	102607.4893
336	102512.223
337	102258.8005
338	102187.7743
339	102077.1334
340	101922.7491
341	101797.9426
342	101731.0028
343	101636.3824
344	101582.0582
345	101516.3777
346	101454.2886
347	101372.463
348	101316.0099
349	101175.4932
350	101012.8508
351	100789.6756
352	100710.4109
353	100630.8833
354	100480.6286
355	100426.3316
356	100204.2917
357	100113.6365
358	100056.7207
359	99957.34352
360	99846.732
361	99750.88973
362	99679.85632
363	99595.26092
364	99482.20013
365	99362.8424
366	99240.59184
367	99173.28052
368	99056.84364
369	98986.66941
370	98915.20057
371	98837.0536
372	98749.32119
373	98668.86882
374	98605.16469
375	98526.23198
376	98391.40435
377	98338.75612
378	98178.97869
379	98139.4373
380	98024.6846
381	97923.55525
382	97874.82486
383	97763.16723
384	97725.94836
385	97636.28416
386	97558.3627
387	97434.29691
388	97342.87542
389	97280.69662
390	97212.43966
391	97105.54621
392	96952.18663
393	96904.6602
394	96865.59825
395	96844.20163
396	96768.00707
397	96675.16002
398	96596.8743
399	96545.98218
400	96500.26637
401	96347.88043
402	96263.90219
403	96204.43585
404	96147.90322
405	95979.90505
406	95879.40792
407	95846.22804
408	95769.64628
409	95705.81203
410	95648.1186
411	95556.07999
412	95469.62184
413	95402.45795
414	95333.44199
415	95252.80878
416	95223.0566
417	95171.18253
418	95089.98475
419	94998.90426
420	94894.15812
421	94867.26307
422	94729.97533
423	94697.18083
424	94623.51216
425	94606.71256
426	94582.12269
427	94505.10732
428	94471.09499
429	94374.40703
430	94298.94282
431	94243.33545
432	94170.67068
433	94103.25235
434	93984.15312
435	93904.65572
436	93850.62002
437	93806.8423
438	93711.1259
439	93659.82534
440	93611.15571
441	93494.60856
442	93426.74893
443	93383.353
444	93319.6847
445	93264.5539
446	93137.40899
447	93060.66655
448	93001.2717
449	92934.40137
450	92876.20796
451	92789.62047
452	92709.90177
453	92670.86853
454	92578.52058
455	92487.33728
456	92439.3774
457	92383.74084
458	92316.23659
459	92210.16734
460	92151.9111
461	92044.12875
462	91938.51276
463	91872.34422
464	91793.14386
465	91726.71752
466	91596.67524
467	91479.89342
468	91404.55046
469	91266.45005
470	91235.66989
471	91158.15219
472	91148.08977
473	91139.72433
474	91108.8371
475	91026.20781
476	90995.96911
477	90885.27302
478	90793.64355
479	90742.85908
480	90737.74717
481	90642.05155
482	90640.92871
483	90543.79183
484	90443.28683
485	90403.47777
486	90313.27374
487	90276.71984
488	90199.19581
489	90099.44864
490	90050.33565
491	89969.32659
492	89939.06104
493	89889.16631
494	89799.28318
495	89732.25542
496	89630.39305
497	89604.87768
498	89561.34988
499	89498.51754
500	89420.91884
501	89294.94421
502	89255.55198
503	89213.90179
504	89209.45484
505	89169.27484
506	89136.92889
507	89056.72787
508	89019.16162
509	88992.94756
510	88898.81853
511	88862.42852
512	88798.18109
513	88761.17514
514	88735.62785
515	88693.57579
516	88679.0949
517	88640.36475
518	88566.745
519	88517.26518
520	88477.28109
521	88438.82574
522	88415.07416
523	88322.88271
524	88283.36404
525	88274.17434
526	88189.15642
527	88185.63531
528	88109.86904
529	88075.21389
530	88028.96811
531	88008.38178
532	87993.55665
533	87949.63473
534	87919.8415
535	87835.9028
536	87790.86658
537	87761.53132
538	87729.02555
539	87707.54324
540	87667.11181
541	87575.77498
542	87522.01781
543	87480.94447
544	87416.55639
545	87347.2943
546	87286.06403
547	87186.68468
548	87151.57489
549	87043.93624
550	86958.448
551	86921.02156
552	86887.81278
553	86879.72708
554	86836.62109
555	86796.16198
556	86733.50497
557	86646.29889
558	86635.60965
559	86598.38134
560	86589.5988
561	86527.57814
562	86520.13433
563	86507.9424
564	86495.61902
565	86440.94558
566	86403.39371
567	86340.32121
568	86250.77674
569	86211.55872
570	86145.63493
571	86078.45533
572	86056.71494
573	86045.69495
574	86026.20098
575	86014.19961
576	85962.55072
577	85960.08623
578	85871.06831
579	85836.95396
580	85830.476
581	85825.67822
582	85731.19386
583	85701.38701
584	85643.36345
585	85601.46381
586	85594.15635
587	85559.98686
588	85538.0808
589	85503.9593
590	85435.34492
591	85408.53096
592	85377.86076
593	85298.21138
594	85254.40051
595	85225.10047
596	85210.54593
597	85124.71825
598	85066.97176
599	85037.76402
600	84976.44766
601	84926.7522
602	84869.53418
603	84786.92722
604	84767.53783
605	84705.91024
606	84703.69474
607	84699.43244
608	84653.66671
609	84590.19437
610	84487.53498
611	84419.01017
612	84362.84922
613	84325.07543
614	84298.02315
615	84240.2603
616	84211.08704
617	84177.10815
618	84096.00893
619	84059.16299
620	83967.01336
621	83945.97783
622	83941.19217
623	83855.6397
624	83829.50241
625	83792.12025
626	83723.66038
627	83671.25252
628	83638.82249
629	83566.54551
630	83499.13811
631	83494.23171
632	83488.6229
633	83463.38299
634	83413.75882
635	83409.82433
636	83338.48025
637	83300.61171
638	83256.79124
639	83233.65704
640	83162.53625
641	83097.56768
642	83069.80685
643	83012.68041
644	82972.16247
645	82927.43074
646	82863.99217
647	82791.24738
648	82739.92823
649	82730.35679
650	82661.06687
651	82627.81261
652	82602.22675
653	82557.0843
654	82534.45997
655	82490.07597
656	82463.04774
657	82435.6999
658	82384.81513
659	82346.39931
660	82345.2295
661	82300.41615
662	82257.0929
663	82203.97022
664	82128.99366
665	82068.49179
666	82044.92741
667	82043.8091
668	82019.671
669	81987.67851
670	81943.02273
671	81915.63058
672	81869.98682
673	81815.75375
674	81795.4261
675	81750.84785
676	81724.15902
677	81660.2915
678	81633.26403
679	81583.98968
680	81564.61913
681	81511.01898
682	81472.47894
683	81430.13159
684	81396.8272
685	81390.82501
686	81343.66177
687	81317.22005
688	81238.59621
689	81205.37631
690	81193.02162
691	81151.25712
692	81083.81485
693	81028.94717
694	80987.71811
695	80951.59883
696	80896.29724
697	80868.26908
698	80812.70859
699	80798.7085
700	80755.82642
701	80750.25791
702	80711.61553
703	80651.59512
704	80621.773
705	80554.09561
706	80490.27222
707	80459.05333
708	80435.16991
709	80398.88506
710	80347.29616
711	80322.49674
712	80297.36159
713	80276.48715
714	80226.86854
715	80188.95062
716	80164.855
717	80130.57205
718	80110.13244
719	80087.6842
720	80031.99934
721	79970.60724
722	79956.59239
723	79891.51312
724	79870.43902
725	79864.65165
726	79808.41049
727	79761.6236
728	79713.23832
