iter	Passed	Remaining
0	4	4240
1	8	4072
2	11	3906
3	15	3805
4	18	3734
5	22	3720
6	26	3716
7	29	3704
8	33	3666
9	36	3596
10	39	3553
11	42	3507
12	45	3467
13	48	3431
14	51	3401
15	55	3386
16	58	3365
17	61	3381
18	65	3392
19	68	3370
20	72	3361
21	74	3331
22	77	3302
23	80	3280
24	83	3262
25	87	3284
26	90	3273
27	93	3255
28	96	3241
29	100	3247
30	104	3252
31	107	3237
32	109	3214
33	112	3195
34	115	3178
35	118	3177
36	121	3166
37	124	3152
38	127	3141
39	130	3132
40	133	3131
41	138	3149
42	141	3158
43	145	3164
44	149	3174
45	153	3193
46	158	3216
47	162	3227
48	167	3241
49	171	3260
50	175	3270
51	179	3280
52	184	3302
53	189	3311
54	192	3307
55	196	3317
56	202	3355
57	207	3370
58	212	3383
59	217	3405
60	222	3417
61	225	3408
62	230	3425
63	235	3437
64	239	3440
65	243	3441
66	247	3452
67	251	3452
68	255	3453
69	258	3435
70	262	3438
71	269	3468
72	274	3484
73	280	3504
74	283	3502
75	287	3496
76	291	3495
77	296	3502
78	300	3506
79	304	3506
80	309	3516
81	314	3519
82	317	3512
83	321	3509
84	325	3508
85	331	3519
86	336	3529
87	340	3529
88	344	3528
89	348	3518
90	351	3513
91	355	3513
92	358	3496
93	363	3502
94	367	3502
95	372	3510
96	379	3530
97	384	3538
98	388	3536
99	393	3541
100	399	3553
101	407	3586
102	414	3606
103	421	3635
104	428	3650
105	435	3672
106	442	3691
107	450	3720
108	455	3726
109	462	3741
110	469	3757
111	475	3766
112	483	3792
113	488	3799
114	493	3801
115	499	3807
116	504	3807
117	508	3800
118	513	3801
119	519	3807
120	523	3800
121	528	3801
122	533	3807
123	539	3808
124	544	3811
125	550	3820
126	556	3822
127	561	3826
128	565	3820
129	570	3815
130	576	3826
131	581	3823
132	585	3818
133	590	3814
134	595	3813
135	598	3804
136	602	3796
137	607	3791
138	613	3800
139	617	3792
140	621	3787
141	627	3788
142	632	3788
143	636	3784
144	641	3782
145	646	3781
146	648	3763
147	653	3759
148	657	3752
149	661	3745
150	664	3737
151	668	3727
152	672	3724
153	676	3717
154	680	3709
155	684	3700
156	688	3696
157	692	3692
158	697	3686
159	701	3683
160	706	3682
161	711	3678
162	715	3672
163	718	3664
164	723	3662
165	727	3655
166	731	3647
167	735	3642
168	740	3640
169	744	3634
170	748	3627
171	752	3622
172	756	3616
173	760	3609
174	764	3602
175	767	3592
176	772	3589
177	776	3586
178	780	3579
179	784	3575
180	789	3572
181	793	3565
182	796	3558
183	800	3551
184	804	3546
185	809	3540
186	813	3537
187	818	3533
188	822	3527
189	825	3519
190	829	3511
191	832	3505
192	836	3499
193	841	3496
194	845	3492
195	850	3490
196	854	3484
197	858	3477
198	862	3473
199	867	3471
200	873	3471
201	877	3468
202	882	3466
203	887	3463
204	891	3458
205	896	3453
206	900	3450
207	905	3447
208	909	3440
209	913	3437
210	918	3434
211	923	3431
212	927	3425
213	931	3422
214	936	3419
215	940	3415
216	945	3411
217	951	3411
218	955	3408
219	960	3406
220	967	3408
221	971	3404
222	975	3399
223	981	3401
224	986	3397
225	991	3396
226	996	3392
227	1000	3388
228	1005	3384
229	1009	3379
230	1014	3378
231	1018	3373
232	1023	3369
233	1028	3367
234	1033	3365
235	1038	3361
236	1043	3360
237	1050	3363
238	1056	3364
239	1062	3364
240	1067	3362
241	1072	3359
242	1077	3356
243	1082	3352
244	1087	3351
245	1093	3351
246	1098	3348
247	1103	3344
248	1108	3343
249	1114	3344
250	1119	3341
251	1124	3338
252	1129	3333
253	1132	3326
254	1136	3320
255	1141	3316
256	1145	3311
257	1149	3307
258	1154	3302
259	1159	3299
260	1163	3293
261	1166	3286
262	1170	3280
263	1175	3278
264	1179	3272
265	1183	3266
266	1188	3263
267	1192	3258
268	1197	3252
269	1201	3248
270	1205	3242
271	1209	3236
272	1212	3229
273	1216	3222
274	1219	3216
275	1224	3212
276	1228	3205
277	1233	3204
278	1238	3200
279	1242	3195
280	1246	3189
281	1250	3183
282	1255	3180
283	1259	3174
284	1263	3169
285	1268	3165
286	1272	3160
287	1276	3154
288	1280	3149
289	1284	3144
290	1289	3140
291	1292	3134
292	1297	3129
293	1301	3125
294	1306	3121
295	1310	3115
296	1314	3110
297	1318	3106
298	1323	3102
299	1327	3096
300	1331	3091
301	1335	3087
302	1339	3082
303	1344	3077
304	1348	3071
305	1352	3068
306	1356	3063
307	1361	3058
308	1365	3054
309	1370	3049
310	1374	3044
311	1378	3040
312	1383	3036
313	1387	3031
314	1392	3027
315	1396	3023
316	1402	3021
317	1407	3017
318	1411	3013
319	1415	3008
320	1420	3005
321	1425	3001
322	1430	2997
323	1434	2992
324	1438	2988
325	1442	2983
326	1447	2979
327	1451	2974
328	1455	2969
329	1460	2965
330	1465	2962
331	1470	2958
332	1473	2952
333	1479	2949
334	1484	2946
335	1489	2942
336	1494	2940
337	1499	2936
338	1503	2931
339	1507	2927
340	1513	2923
341	1517	2918
342	1521	2913
343	1525	2909
344	1530	2906
345	1534	2901
346	1539	2896
347	1543	2892
348	1548	2888
349	1552	2883
350	1557	2879
351	1562	2875
352	1566	2870
353	1569	2865
354	1574	2860
355	1579	2857
356	1584	2853
357	1588	2848
358	1593	2845
359	1599	2842
360	1603	2838
361	1607	2833
362	1612	2829
363	1616	2824
364	1621	2820
365	1627	2819
366	1631	2813
367	1634	2807
368	1639	2803
369	1645	2801
370	1648	2794
371	1652	2789
372	1656	2785
373	1661	2780
374	1665	2776
375	1670	2772
376	1676	2770
377	1681	2766
378	1686	2762
379	1691	2759
380	1695	2754
381	1700	2751
382	1706	2748
383	1713	2748
384	1720	2749
385	1726	2746
386	1735	2748
387	1741	2747
388	1750	2749
389	1756	2747
390	1763	2746
391	1769	2743
392	1775	2742
393	1780	2739
394	1784	2733
395	1788	2728
396	1795	2727
397	1800	2723
398	1805	2718
399	1810	2715
400	1814	2710
401	1819	2706
402	1824	2702
403	1829	2699
404	1834	2694
405	1839	2691
406	1844	2687
407	1849	2684
408	1855	2680
409	1861	2678
410	1868	2677
411	1872	2672
412	1877	2668
413	1881	2663
414	1886	2659
415	1891	2655
416	1895	2649
417	1899	2645
418	1905	2641
419	1909	2637
420	1913	2632
421	1917	2626
422	1923	2624
423	1927	2618
424	1932	2614
425	1937	2610
426	1942	2607
427	1947	2602
428	1952	2598
429	1957	2595
430	1962	2590
431	1966	2585
432	1971	2581
433	1976	2577
434	1981	2573
435	1987	2570
436	1992	2566
437	1996	2562
438	2003	2560
439	2009	2557
440	2015	2555
441	2021	2552
442	2025	2546
443	2030	2542
444	2035	2539
445	2040	2534
446	2045	2530
447	2051	2527
448	2055	2522
449	2060	2518
450	2064	2513
451	2071	2511
452	2075	2506
453	2080	2502
454	2086	2499
455	2091	2495
456	2097	2492
457	2101	2487
458	2105	2481
459	2110	2477
460	2115	2473
461	2120	2469
462	2125	2464
463	2131	2461
464	2135	2456
465	2140	2452
466	2144	2448
467	2150	2445
468	2155	2440
469	2159	2435
470	2163	2430
471	2168	2425
472	2172	2420
473	2175	2414
474	2180	2410
475	2185	2405
476	2189	2401
477	2194	2396
478	2199	2392
479	2203	2387
480	2207	2382
481	2212	2378
482	2216	2372
483	2220	2367
484	2225	2363
485	2229	2358
486	2234	2353
487	2238	2348
488	2242	2343
489	2247	2339
490	2252	2334
491	2256	2329
492	2260	2325
493	2265	2320
494	2269	2315
495	2274	2311
496	2279	2307
497	2283	2301
498	2287	2296
499	2292	2292
500	2296	2287
501	2300	2282
502	2305	2278
503	2311	2274
504	2314	2268
505	2319	2264
506	2324	2260
507	2329	2255
508	2333	2250
509	2337	2245
510	2341	2240
511	2346	2236
512	2350	2231
513	2355	2227
514	2359	2222
515	2363	2216
516	2367	2211
517	2372	2207
518	2376	2202
519	2380	2197
520	2385	2193
521	2390	2189
522	2395	2184
523	2399	2179
524	2404	2175
525	2408	2170
526	2412	2165
527	2414	2158
528	2418	2153
529	2423	2149
530	2427	2144
531	2431	2139
532	2435	2133
533	2440	2129
534	2443	2123
535	2447	2118
536	2451	2113
537	2455	2108
538	2459	2103
539	2463	2098
540	2468	2094
541	2472	2088
542	2476	2083
543	2479	2078
544	2485	2074
545	2489	2070
546	2493	2064
547	2496	2059
548	2501	2054
549	2505	2050
550	2509	2044
551	2512	2039
552	2516	2034
553	2520	2029
554	2524	2024
555	2528	2018
556	2532	2013
557	2536	2009
558	2539	2003
559	2543	1998
560	2547	1993
561	2552	1989
562	2556	1984
563	2559	1978
564	2563	1973
565	2568	1969
566	2572	1964
567	2577	1960
568	2582	1956
569	2586	1951
570	2590	1946
571	2594	1941
572	2600	1937
573	2604	1932
574	2608	1928
575	2612	1923
576	2616	1918
577	2620	1913
578	2624	1908
579	2629	1904
580	2634	1899
581	2638	1895
582	2643	1890
583	2649	1887
584	2653	1882
585	2658	1878
586	2663	1873
587	2667	1868
588	2671	1864
589	2676	1859
590	2680	1854
591	2684	1849
592	2688	1845
593	2693	1841
594	2697	1836
595	2701	1831
596	2706	1826
597	2710	1822
598	2714	1817
599	2718	1812
600	2722	1807
601	2726	1802
602	2732	1798
603	2735	1793
604	2739	1788
605	2745	1784
606	2749	1779
607	2753	1775
608	2758	1770
609	2762	1766
610	2767	1761
611	2772	1757
612	2777	1753
613	2780	1748
614	2784	1743
615	2789	1738
616	2793	1734
617	2797	1729
618	2802	1724
619	2806	1720
620	2810	1715
621	2814	1710
622	2817	1705
623	2822	1700
624	2826	1695
625	2830	1690
626	2833	1685
627	2838	1681
628	2842	1676
629	2846	1671
630	2849	1666
631	2853	1661
632	2857	1656
633	2861	1651
634	2865	1646
635	2868	1641
636	2872	1637
637	2876	1632
638	2880	1627
639	2884	1622
640	2889	1618
641	2893	1613
642	2898	1609
643	2903	1605
644	2907	1600
645	2911	1595
646	2915	1590
647	2921	1586
648	2925	1582
649	2929	1577
650	2933	1572
651	2939	1568
652	2943	1564
653	2947	1559
654	2952	1555
655	2957	1550
656	2963	1546
657	2968	1542
658	2973	1538
659	2978	1534
660	2982	1529
661	2988	1525
662	2993	1521
663	2999	1517
664	3004	1513
665	3009	1509
666	3014	1504
667	3021	1501
668	3028	1498
669	3034	1494
670	3043	1492
671	3049	1488
672	3057	1485
673	3063	1481
674	3068	1477
675	3074	1473
676	3080	1469
677	3087	1466
678	3092	1462
679	3099	1458
680	3106	1455
681	3113	1451
682	3119	1447
683	3125	1444
684	3133	1440
685	3139	1436
686	3145	1432
687	3151	1429
688	3158	1425
689	3164	1421
690	3169	1417
691	3174	1412
692	3178	1407
693	3183	1403
694	3187	1398
695	3192	1394
696	3197	1389
697	3201	1385
698	3205	1380
699	3209	1375
700	3214	1371
701	3218	1366
702	3223	1361
703	3228	1357
704	3233	1352
705	3237	1348
706	3241	1343
707	3247	1339
708	3251	1334
709	3256	1330
710	3262	1326
711	3267	1321
712	3271	1316
713	3276	1312
714	3280	1307
715	3285	1303
716	3289	1298
717	3295	1294
718	3299	1289
719	3304	1285
720	3308	1280
721	3314	1276
722	3318	1271
723	3323	1266
724	3327	1262
725	3331	1257
726	3335	1252
727	3340	1248
728	3344	1243
729	3349	1238
730	3353	1233
731	3357	1229
732	3362	1224
733	3366	1219
734	3370	1215
735	3374	1210
736	3379	1206
737	3384	1201
738	3389	1197
739	3394	1192
740	3398	1187
741	3401	1182
742	3407	1178
743	3412	1174
744	3416	1169
745	3421	1164
746	3425	1160
747	3429	1155
748	3433	1150
749	3438	1146
750	3442	1141
751	3446	1136
752	3450	1131
753	3455	1127
754	3460	1122
755	3464	1118
756	3469	1113
757	3473	1109
758	3478	1104
759	3482	1099
760	3487	1095
761	3492	1090
762	3497	1086
763	3502	1081
764	3507	1077
765	3512	1072
766	3517	1068
767	3521	1063
768	3525	1059
769	3530	1054
770	3535	1050
771	3540	1045
772	3544	1040
773	3548	1036
774	3554	1031
775	3559	1027
776	3564	1023
777	3569	1018
778	3573	1013
779	3578	1009
780	3584	1005
781	3587	1000
782	3592	995
783	3597	991
784	3602	986
785	3606	981
786	3610	977
787	3615	972
788	3620	968
789	3624	963
790	3629	959
791	3635	954
792	3639	949
793	3643	945
794	3647	940
795	3651	935
796	3655	931
797	3659	926
798	3664	921
799	3669	917
800	3673	912
801	3679	908
802	3684	903
803	3689	899
804	3694	894
805	3698	890
806	3703	885
807	3708	881
808	3714	876
809	3719	872
810	3723	867
811	3728	863
812	3732	858
813	3736	853
814	3741	849
815	3746	844
816	3751	840
817	3756	835
818	3761	831
819	3765	826
820	3770	822
821	3774	817
822	3779	812
823	3784	808
824	3789	803
825	3794	799
826	3798	794
827	3802	789
828	3808	785
829	3812	780
830	3817	776
831	3821	771
832	3827	767
833	3832	762
834	3836	758
835	3841	753
836	3846	748
837	3850	744
838	3854	739
839	3859	735
840	3863	730
841	3868	725
842	3873	721
843	3878	716
844	3882	712
845	3886	707
846	3890	702
847	3894	698
848	3899	693
849	3903	688
850	3907	684
851	3911	679
852	3917	675
853	3921	670
854	3926	665
855	3931	661
856	3935	656
857	3940	652
858	3945	647
859	3950	643
860	3955	638
861	3960	633
862	3964	629
863	3969	624
864	3975	620
865	3979	615
866	3984	611
867	3989	606
868	3993	602
869	3997	597
870	4002	592
871	4007	588
872	4010	583
873	4014	578
874	4019	574
875	4023	569
876	4027	564
877	4032	560
878	4037	555
879	4041	551
880	4045	546
881	4050	541
882	4054	537
883	4058	532
884	4063	527
885	4067	523
886	4071	518
887	4075	514
888	4080	509
889	4084	504
890	4089	500
891	4094	495
892	4099	491
893	4103	486
894	4108	482
895	4112	477
896	4117	472
897	4121	468
898	4126	463
899	4130	458
900	4134	454
901	4139	449
902	4143	445
903	4149	440
904	4154	436
905	4159	431
906	4164	427
907	4168	422
908	4172	417
909	4177	413
910	4181	408
911	4186	403
912	4191	399
913	4197	394
914	4202	390
915	4206	385
916	4210	381
917	4215	376
918	4219	371
919	4224	367
920	4229	362
921	4233	358
922	4238	353
923	4242	348
924	4248	344
925	4253	339
926	4258	335
927	4262	330
928	4267	326
929	4271	321
930	4275	316
931	4278	312
932	4282	307
933	4286	302
934	4291	298
935	4295	293
936	4300	289
937	4304	284
938	4309	279
939	4316	275
940	4322	270
941	4330	266
942	4338	262
943	4345	257
944	4353	253
945	4360	248
946	4367	244
947	4374	239
948	4381	235
949	4385	230
950	4393	226
951	4400	221
952	4407	217
953	4413	212
954	4420	208
955	4426	203
956	4431	199
957	4434	194
958	4437	189
959	4443	185
960	4447	180
961	4452	175
962	4457	171
963	4462	166
964	4466	161
965	4470	157
966	4474	152
967	4478	148
968	4482	143
969	4486	138
970	4491	134
971	4495	129
972	4499	124
973	4503	120
974	4509	115
975	4513	110
976	4517	106
977	4522	101
978	4526	97
979	4530	92
980	4534	87
981	4538	83
982	4543	78
983	4547	73
